microlocality,developer,tier,n_sales,dubai_props,med_price,est_annual_rent,gross_yield,net_yield,role
Motor City,Emaar,1,87,3531,1220037.0114942528,74080.45977011495,0.06083710789235199,0.0486696863138816,top
Motor City,Sobha,1,148,189,1463272.560810811,84425.67567567568,0.059664801657268174,0.04773184132581454,top
Motor City,Binghatti,2,196,3183,1021754.1020408163,59056.12244897959,0.058799207023381275,0.047039365618705024,blue-chip
Motor City,Iman,2,443,455,1427518.3833408577,85464.58803611738,0.058022765283501206,0.04641821222680097,blue-chip
Dubai South,Azizi,2,1157,2311,833658.867761452,45716.508210890235,0.0570151360362603,0.04561210882900824,top
Dubai South,Emaar,1,43,3531,1947770.334883721,87558.13953488372,0.046532426018184074,0.03722594081454726,top
Dubai Silicon Oasis,Binghatti,2,80,3183,757562.5,53200.0,0.0723868601027736,0.057909488082218886,top
Dubai Silicon Oasis,Danube,2,359,1078,1131254.7075208914,55275.76601671309,0.04869936560509281,0.03895949248407425,top
Dubai Silicon Oasis,Vision,2,23,282,1290434.7826086956,60739.13043478261,0.04793300071275838,0.038346400570206704,blue-chip
Dubai Silicon Oasis,Ellington,1,172,260,1683723.3488372094,67942.1511627907,0.04131174708322214,0.03304939766657771,blue-chip
International City,Azizi,2,20,2311,505500.0,48024.0,0.09445765765765765,0.07556612612612612,top
International City,Nakheel,1,1264,3195,711467.1329113924,40692.51582278481,0.058000501886262615,0.04640040150901009,top
International City,Danube,2,54,1078,729907.4074074074,39480.0,0.055849040332066585,0.04467923226565327,blue-chip
International City,Samana,2,180,651,955963.2058888889,44175.333333333336,0.04634260544392002,0.03707408435513602,blue-chip
Dubai Sports City,Azizi,2,65,2311,1000246.1538461539,58307.692307692305,0.06005319856121872,0.04804255884897498,top
Dubai Sports City,Vision,2,190,282,1264219.5789473683,66815.78947368421,0.05288966692224446,0.042311733537795576,top
Dubai Sports City,Samana,2,4,651,1381176.26,70000.0,0.05148866097352146,0.04119092877881717,blue-chip
Dubai Sports City,Karma,2,89,102,1244105.606741573,63988.76404494382,0.05106628999199064,0.04085303199359252,blue-chip
Discovery Gardens,Nakheel,1,1183,3195,738841.9273034658,52497.19019442096,0.07303713925334646,0.058429711402677165,top
Discovery Gardens,Samana,2,5,651,1311993.56,54176.4,0.044372263733662695,0.03549781098693016,top
Town Square,Nshama,1,1590,1590,1615135.9748427672,86682.38993710691,0.054791897786295556,0.043833518229036444,top
The Greens,Emaar,1,285,3531,1673476.2877192982,99719.29824561403,0.06054510230714837,0.0484360818457187,top
The Greens,Nakheel,1,19,3195,2470789.4736842103,139000.0,0.05786072895330933,0.046288583162647466,top
Jumeirah Village Circle,Iman,2,4,455,1152182.4,69750.0,0.0604645443843292,0.048371635507463366,top
Jumeirah Village Circle,Binghatti,2,4,3183,872499.25,50500.0,0.05805819866239153,0.04644655892991323,top
Al Furjan,Azizi,2,574,2311,961795.1567944251,71382.47386759582,0.0764125568607999,0.06113004548863992,top
Al Furjan,Danube,2,163,1078,1513585.6932515337,94922.94478527608,0.06498012981487171,0.05198410385189737,top
